A50HnCp7r1	A50HnCp7r2	A50HnCp7r3	A50HnCp7r4	A50HnCp7r5	A50HnCp7r6	A50HnCp7r7	A50HnCp7r8	A50HnCp7r9	A50HnCp7r10	A50HnCp7r11	A50HnCp7r12	A50HnCp7r13	A50HnCp7r14	A50HnCp7r15	A50HnSz7r1	A50HnSz7r2	A50HnSz7r3	A50HnSz7r4	A50HnSz7r5	A50HnSz7r6	A50HnSz7r7	A50HnSz7r8	A50HnSz7r9	A50HnSz7r10	A50HnSz7r11	A50HnSz7r12	A50HnSz7r13	A50HnSz7r14	A50HnSz7r15
Solirubrobacteraceae	0.0109	0.013	0.0148	0.0178	0.0104	0.00239	0	0.00293	0.00701	0.0081	0.00724	0.0106	0.00809	0.00207	0.0199	0.00681	0.0146	0.0229	0.0076	0.0127	0.0111	0.00898	0.0134	0.0468	0.0259	0.0119	0.00596	0.0112	0.00921	0.0238
Intrasporangiaceae	0.0912	0.0807	0.117	0.0812	0.0772	0.0837	0.0653	0.0968	0.0747	0.101	0.103	0.0743	0.167	0.0954	0.0815	0.0659	0.128	0.217	0.0582	0.112	0.0445	0.126	0.0872	0.121	0.104	0.107	0.113	0.0855	0.0622	0.119
Streptomycetaceae	0.0876	0.133	0.0703	0.0832	0.553	0.0455	0.11	0.0909	0.205	0.0627	0.0579	0.152	0.0593	0.108	0.154	0.25	1.99	1.22	0.263	0.855	0.814	0.207	0.986	0.128	0.359	0.486	0.725	0.253	1	0.21
Clostridiales_Incertae_Sedis_XII	0.1	0.0807	0.313	0.172	0.157	0.191	0.0505	0.179	0.0327	0.0668	0.157	0.0561	0.151	0.108	0.194	0.2	0.195	0.151	0.127	0.139	0.129	0.216	0.101	0.0937	0.197	0.104	0.107	0.164	0.166	0.177
Phyllobacteriaceae	0.0365	0.0547	0.0203	0.0832	0.0438	0.0455	0.0237	0.0557	0.0701	0.0607	0.038	0.0455	0.0243	0.0352	0.029	0.0227	0.0699	0.0389	0.043	0.0422	0.0133	0.0299	0.0201	0.0394	0.0259	0.0374	0.0417	0.0112	0.0253	0.0173
Desulfuromonadaceae	0.00547	0	0.00925	0.00594	0	0.00239	0.00297	0.00293	0	0	0.00362	0.00455	0.00539	0.00207	0.00906	0.00454	0.00291	0.00914	0.0127	0.00633	0.00667	0.00599	0	0.0148	0.013	0.0102	0.00994	0.0149	0.00461	0.00433
Verrucomicrobiaceae	0.00547	0.026	0.00185	0.00792	0.00835	0.00478	0	0.00293	0	0.00607	0.0199	0.00152	0.00539	0.00622	0.0127	0	0.00582	0.00457	0.00506	0.00422	0	0	0.00335	0.00493	0.00216	0.0102	0.0179	0	0.0207	0.00865
Haliangiaceae	0.0401	0.0599	0.0314	0.0733	0.0355	0.0263	0.0594	0.0352	0.0537	0.0182	0.0326	0.0288	0.0405	0.0187	0.0598	0.0204	0.0116	0.0137	0.0152	0.0338	0.0111	0.00599	0.0101	0.00493	0.0108	0.0187	0.0318	0.0223	0.0161	0.00216
Clostridiales_Incertae_Sedis_XI	0.00182	0.00521	0.0129	0.00594	0.00626	0.0311	0.0208	0.00587	0	0.00202	0.00362	0.00606	0.0027	0.00622	0.00725	0	0.00291	0	0	0.00211	0.00445	0	0	0.00493	0.00432	0.0017	0.00199	0	0.0023	0.00216
Syntrophaceae	0	0.00521	0.00185	0.00198	0	0	0.00297	0	0.00234	0	0.00181	0.00455	0.0027	0.00207	0	0.00227	0	0	0	0.00211	0	0	0	0	0	0.0017	0.00199	0.00372	0.0023	0
Gallionellaceae	1.35	1.47	1.19	1.48	1.39	1.16	1.58	2	2.04	1.09	1.56	1.84	1.07	1.29	1.08	1.04	1.04	1.31	1.19	1.07	1.31	0.665	0.909	1.27	1.04	1.18	1.02	0.952	0.896	0.842
Peptostreptococcaceae	0.0602	0.0417	0.0444	0.0653	0.134	0.0335	0.0237	0.0587	0.0257	0.0567	0.0869	0.467	0.0485	0.124	0.0489	0.42	0.259	0.299	0.451	0.561	0.505	0.323	0.252	0.372	0.298	0.148	0.338	0.327	0.24	0.309
Conexibacteraceae	0.0237	0.00521	0.0111	0.0119	0.00835	0.00478	0.0178	0.0147	0.00701	0.00405	0.0163	0.0197	0.00809	0.00829	0.0308	0.0114	0.00291	0.00686	0.0076	0.00211	0.0133	0.00299	0.0101	0.00739	0.0151	0.00849	0.00795	0.00744	0.00921	0.00865
Thermomonosporaceae	2.89	3.19	1.11	1.48	2.29	3.92	2.39	2.7	1.64	2.03	1.46	0.984	1.61	1.23	1.41	2.91	3.78	6.03	4.71	4.51	7.22	2.4	4.14	2.06	2.26	1.8	2.81	2.37	8.37	4.56
Acidimicrobiaceae	0.162	0.583	0.135	0.101	0.163	0.249	0.125	0.0762	0.0981	0.154	0.156	0.121	0.151	0.189	0.147	0.102	0.18	0.183	0.167	0.222	0.118	0.0479	0.138	0.274	0.223	0.17	0.163	0.119	0.117	0.229
Burkholderiaceae	0.0547	0.172	0.117	0.15	0.127	0.0646	0.113	0.0968	0.0701	0.0688	0.0978	0.136	0.143	0.106	0.0979	0.0704	0.0757	0.119	0.124	0.146	0.0934	0.12	0.0939	0.182	0.153	0.166	0.121	0.0744	0.113	0.106
Nannocystaceae	0	0.0026	0	0.00198	0	0.00957	0	0	0.00234	0	0.00181	0.0212	0.0027	0	0.00181	0.00681	0.032	0	0.00506	0.0211	0.00222	0.00898	0.0168	0.00739	0.0151	0.00679	0.00795	0	0.0184	0.00649
Gemmatimonadaceae	0.0365	0.0937	0.0222	0.0178	0.025	0.0502	0.00297	0.00587	0.014	0.0486	0.029	0.0136	0.0297	0.0394	0.0362	0	0.0291	0.0206	0.00506	0.00422	0	0.00599	0.00335	0.00986	0.00865	0.0034	0.0417	0	0.0115	0.00865
Rhodothermaceae	0.00182	0	0	0.00198	0.00209	0.00239	0.00297	0.0176	0.00701	0.00405	0	0.00455	0	0	0.00181	0.00227	0	0	0	0.00211	0	0	0	0	0.00432	0	0	0.00372	0.00461	0.00216
Myxococcaceae	0.0201	0.0417	0	0.0218	0.0209	0.0287	0.0267	0.0264	0.028	0.0081	0.0272	0.0227	0.0135	0.0104	0.0199	0.0522	0.0349	0.0366	0.0532	0.0992	0.04	0.015	0.0537	0.0296	0.0411	0.0425	0.0159	0.0149	0.0253	0.0195
Sphingobacteriaceae	0.00182	0	0.00185	0.00396	0	0.00478	0.00594	0	0	0.00202	0.00181	0.00152	0.00539	0.0124	0	0.0136	0.0233	0.0137	0.00506	0.00422	0.0133	0.0389	0	0.0345	0.00865	0.0119	0.0199	0.0186	0.0161	0.013
Veillonellaceae	0.0639	0.0495	0.0148	0.0297	0.0522	0.0311	0.0148	0.0411	0.028	0.0081	0.0398	0.102	0.0216	0.056	0.058	0.0159	0.0146	0.0206	0.0152	0.00844	0.0222	0.00599	0.00335	0.0197	0.0108	0.0289	0.0219	0.0186	0.0345	0.013
Pseudonocardiaceae	0.378	0.32	0.239	0.736	0.0146	0.103	0.0148	0.528	0.028	0	0.0145	0.0288	0.0108	0.00415	0.0417	0.00454	0.00582	0.112	0.0076	0.00422	0.00889	0.00299	0.0201	0.0148	0.0238	0.017	0.0139	0.00744	0.0023	0.0108
Mycobacteriaceae	0.139	0.302	0.098	0.0693	0.182	0.0215	0.145	0.103	0.107	0.176	0.029	0.179	0.0162	0.0228	0.0217	0.111	0.064	0.0571	0.0658	0.0528	0.12	0.0419	0.057	0.0468	0.0692	0.0391	0.0338	0.0186	0.108	0.0173
Erythrobacteraceae	0.0584	0.271	0.0314	0.0634	0.106	0.0694	0.0356	0.0205	0.0444	0.0466	0.0272	0.0409	0.0378	0.0394	0.0525	0.0182	0.0524	0.0549	0.038	0.0317	0.0133	0.0419	0.0168	0.0542	0.0519	0.0272	0.0934	0.0112	0.0484	0.0389
Thermoactinomycetaceae_1	0.0073	0.0026	0.00185	0.00198	0	0.00478	0	0.0117	0	0.00405	0	0.00455	0.0027	0.00622	0	0.00454	0	0.00229	0	0.00211	0.00222	0	0	0.00246	0.00216	0	0	0	0.00461	0.00216
Bradyrhizobiaceae	1.16	1.13	2.2	0.699	0.96	0.545	0.549	0.877	0.866	0.439	0.547	1.09	0.259	0.69	0.676	0.722	0.882	0.946	0.909	2.1	0.445	0.521	0.818	0.606	0.625	0.639	0.395	0.245	1.2	0.506
Sandaracinaceae	0.0219	0.013	0.0074	0.00792	0.0146	0.0239	0.0267	0.0235	0.014	0.0121	0.0181	0.0121	0.0216	0.00415	0.00906	0.0613	0.0291	0.0229	0.0177	0.0422	0.0245	0.0359	0.00671	0.0542	0.0389	0.034	0.0238	0.0149	0.0276	0.0216
Coriobacteriaceae	0.0456	0.0677	0.098	0.0752	0.0459	0.0335	0.0386	0.0469	0.0467	0.0223	0.145	0.0773	0.0917	0.12	0.0834	0.0295	0.00582	0.0229	0.0101	0.0106	0.0333	0.00898	0.0201	0.0271	0.0367	0.0204	0.0338	0.0112	0.0184	0.0216
Geodermatophilaceae	0.0201	0.0312	0.0129	0.0198	0.0396	0.0167	0.0356	0.044	0.00467	0.0182	0.0253	0.0743	0.0432	0.029	0.0507	0.025	0.0408	0.0823	0.0278	0.0929	0.0378	0.0928	0.0268	0.0715	0.121	0.0425	0.201	0.0335	0.0368	0.0303
Aeromonadaceae	8.79	2.37	6.82	5.93	3.91	4.45	4.79	3.16	8.58	5.69	7.16	3.9	5.63	5.7	5.73	12	11.8	8.94	8.18	7.33	11.8	19.1	7	14.5	13.1	7.59	5.77	9.3	8.74	8.75
