IR24HnCp7r1	IR24HnCp7r2	IR24HnCp7r3	IR24HnCp7r4	IR24HnCp7r5	IR24HnCp7r6	IR24HnCp7r7	IR24HnCp7r8	IR24HnCp7r9	IR24HnCp7r10	IR24HnCp7r11	IR24HnCp7r12	IR24HnCp7r13	IR24HnCp7r14	IR24HnCp7r15	IR24HnSz7r1	IR24HnSz7r2	IR24HnSz7r3	IR24HnSz7r4	IR24HnSz7r5	IR24HnSz7r6	IR24HnSz7r7	IR24HnSz7r8	IR24HnSz7r9	IR24HnSz7r10	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r13	IR24HnSz7r14	IR24HnSz7r15	IR24HnSz7r16	IR24HnSz7r17
Methylobacteriaceae	0.0597	0.024	0.0426	0.0148	0.00813	0.00648	0.0122	0.00779	0.0322	0.0591	0.0138	0.028	0.0181	0.0146	0.0291	0.05	0.04	0.0198	0.02	0.345	0.0755	0.104	0.0389	0.0382	0.0324	0.0983	0.0718	0.0765	0.119	0.0613	0.0801	0.0153
Chitinophagaceae	0.0116	0.0172	0.0255	0.0466	0.0298	0.0243	0.0275	0.0171	0.00848	0.0118	0.0384	0.0539	0.00361	0.0291	0.00582	0.0191	0.0188	0.00741	0.014	0.00863	0.0368	0.0123	0.0184	0.0127	0.00695	0.0109	0.0233	0.0201	0.0647	0.00613	0.0191	0.0122
Desulfovibrionaceae	0.0809	0.178	0.213	0.159	0.125	0.125	0.0778	0.157	0.198	0.128	0.151	0.483	0.105	0.259	0.306	0.112	0.139	0.18	0.172	0.132	0.127	0.0765	0.264	0.0637	0.369	0.368	0.19	0.153	0.266	0.138	0.126	0.26
Opitutaceae	0.0713	0.0137	0.0554	0.102	0.0217	0.105	0.0366	0.123	0.0407	0.0355	0.0507	0.0579	0.0398	0.099	0.00776	0.0191	0.0165	0.0346	0.034	0.046	0.0589	0.00494	0.084	0.0218	0.0324	0.0273	0.0893	0.0181	0.0898	0.0368	0.0305	0.0214
Prolixibacteraceae	0.243	0.173	0.185	0.165	0.135	0.149	0.163	0.143	0.0882	0.118	0.145	0.0899	0.204	0.137	0.188	0.0667	0.0895	0.084	0.134	0.135	0.188	0.0666	0.115	0.144	0.125	0.191	0.0601	0.248	0.165	0.126	0.0591	0.0765
Polyangiaceae	0.0675	0.024	0.0554	0.0868	0.0488	0.0567	0.032	0.0436	0.0288	0.13	0.0784	0.0839	0.0145	0.143	0.062	0.031	0.0518	0.0469	0.0921	0.0431	0.0552	0.146	0.102	0.0728	0.0834	0.0965	0.0446	0.0523	0.0718	0.0398	0.0953	0.0612
Gaiellaceae	0.0636	0.0172	0.017	0.0423	0.0135	0.013	0.0229	0.0467	0.0339	0.0422	0.0369	0.036	0.0379	0.0349	0.0427	0.0357	0.0259	0.0692	0.0561	0.0288	0.0423	0.0222	0.0492	0.0419	0.0556	0.0382	0.0796	0.0483	0.0682	0.049	0.0133	0.0153
Gracilibacteraceae	0.027	0.00343	0.00852	0.00846	0.00271	0.0243	0.0305	0.00935	0.0187	0.0287	0.0184	0.016	0.00723	0.0204	0.00776	0.0453	0.0589	0.0988	0.0761	0.0748	0.0681	0.0938	0.111	0.0637	0.121	0.051	0.099	0.0443	0.018	0.0674	0.0534	0.11
Desulfobulbaceae	0.054	0.0326	0.0873	0.0656	0.0758	0.0502	0.0458	0.0327	0.0492	0.0625	0.0538	0.0619	0.105	0.0553	0.0407	0.0238	0.0471	0.0519	0.0541	0.0345	0.0423	0.0592	0.0676	0.0528	0.165	0.0273	0.0543	0.0423	0.0718	0.0429	0.0267	0.0918
Oscillochloridaceae	0.0385	0.0497	0.117	0.102	0.0433	0.136	0.0595	0.053	0.0577	0.071	0.0815	0.0919	0.0849	0.0408	0.194	0.00953	0.0518	0.0469	0.0601	0.0259	0.0294	0.0395	0.0471	0.0564	0.0695	0.0492	0.0427	0.0725	0.0431	0.132	0.0515	0.0184
